Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Sohum Lohia,122.7,1.29,100.95,12.0,4.5,129.4,1.27,2211,2189,678,6,6,41.4,30.72,0.93,107.32,-1.88,1.05,1.53,126.6,118.8,2.5,2.0,15.48,943.94,0.87,11517.26
Changjie Zhang,122.5,1.2,173.67,15.0,4.5,131.4,1.07,1657,1588,558,8,7,140.81,26.8,0.72,156.18,-1.89,1.2,1.19,123.2,121.7,3.0,1.5,17.93,718.12,0.51,24392.89
Carlos D. Schneider Sanchez,122.3,1.11,103.29,10.0,0.5,133.4,0.72,1969,1896,340,5,5,31.01,27.65,0.72,151.85,-1.9,1.15,1.07,123.8,120.7,0.5,0.0,11.14,764.75,0.52,23058.71
Jan Murawski,122.2,1.32,51.1,10.0,1.5,126.6,1.06,2132,2209,458,4,6,27.65,24.35,0.67,81.12,-1.91,0.85,1.63,139.5,110.6,1.0,0.5,13.19,593.15,0.45,6579.65
Rajko Vujatovic,122.2,1.23,80.76,12.0,2.0,127.0,1.01,2122,2058,502,6,6,30.36,27.29,0.9,188.23,-1.9,1.21,1.25,122.6,121.9,1.0,1.0,14.74,744.63,0.81,35429.15
Dagur Ragnarsson,122.1,1.35,122.21,12.0,3.0,132.6,1.35,2365,2162,590,6,6,27.29,26.92,0.69,169.66,-1.91,1.63,1.07,118.0,126.1,2.0,1.0,16.2,724.69,0.47,28783.15
Jakub Seemann,121.9,1.64,59.62,15.0,9.0,127.7,1.3,2379,2353,846,7,8,24.78,28.5,0.89,89.64,-1.92,1.85,1.47,112.9,129.8,3.5,5.5,24.67,812.34,0.78,8035.93
Ashley Stewart,121.9,1.42,101.86,8.0,2.0,123.2,1.25,2097,2103,321,4,4,36.4,20.04,0.57,130.05,-1.92,1.2,1.62,132.7,111.1,1.5,0.5,11.32,401.45,0.33,16914.29
Jonas Eilenberg,121.8,1.45,81.31,12.0,4.5,129.6,1.44,2379,2384,685,6,6,34.97,34.79,1.02,121.03,-1.93,1.88,1.01,109.8,133.9,3.0,1.5,17.39,1210.4,1.03,14648.07
Deborah Ebimobo-ere QUICKPEN,121.7,1.27,75.61,12.0,4.5,122.6,0.98,2072,1968,524,6,6,26.94,27.4,0.81,119.4,-1.93,1.65,0.9,107.6,135.9,1.5,3.0,15.28,750.82,0.66,14255.96
Gleb Dudin,121.7,1.64,67.76,12.0,7.0,132.0,1.44,2454,2525,587,6,6,16.92,49.88,1.4,114.81,-1.93,1.7,1.58,121.4,122.1,3.0,4.0,19.67,2487.66,1.96,13181.18
Lucas Rusu,121.5,1.35,157.8,12.0,4.5,132.4,1.12,2038,2291,594,6,6,63.18,42.51,1.08,183.57,-1.94,1.15,1.56,130.6,112.4,2.5,2.0,16.24,1807.42,1.16,33696.29
Trevor Vincent,121.2,1.43,40.23,12.0,5.5,129.4,0.98,2226,2232,412,6,6,27.4,41.04,1.2,30.89,-1.96,1.38,1.48,115.5,126.8,1.0,4.5,17.2,1684.1,1.43,953.97
James Corrigan,120.6,1.25,37.92,2.0,0.5,120.6,1.25,1875,1634,71,1,1,37.92,16.4,0.08,6.89,-2.0,1.19,1.31,132.2,109.0,0.5,0.0,2.5,269.12,0.01,47.43
David Muradyan,120.5,1.33,109.91,19.0,7.5,138.0,1.28,0,1767,778,9,10,32.02,40.4,0.91,125.82,-2.0,1.27,1.38,122.1,119.2,4.0,3.5,25.27,1632.24,0.83,15831.76
Thomas E Rendle,120.4,1.59,23.04,11.0,5.5,126.7,1.17,2429,2353,451,5,6,19.75,37.7,1.2,14.24,-2.01,1.36,1.78,128.4,113.7,2.0,3.5,17.51,1421.13,1.43,202.73
Valery Atlas,120.2,1.53,170.14,11.0,5.0,124.2,1.25,2425,2306,484,5,6,44.77,27.24,0.93,188.08,-2.02,2.14,1.03,100.2,136.8,2.0,3.0,16.88,742.11,0.86,35372.8
Erzhan Zhakshylykov,120.1,1.73,40.88,12.0,10.0,146.1,1.18,2075,2554,506,7,5,24.48,45.75,1.41,53.8,-2.02,1.85,1.55,115.1,127.0,5.0,5.0,20.71,2093.31,1.98,2894.62
Anca-Claudia Cujba,119.8,1.05,97.15,13.0,1.0,130.3,0.76,1783,1699,355,6,7,42.3,35.07,0.98,125.92,-2.04,1.28,0.84,111.1,127.2,1.0,0.0,13.61,1229.68,0.97,15856.0
Aryaman Ganguly,119.8,1.53,24.01,9.0,6.0,127.4,1.25,1826,2031,463,4,5,23.48,37.76,1.07,11.21,-2.04,0.83,2.09,150.3,95.4,4.0,2.0,13.78,1425.73,1.15,125.59
Patrick Kawuma,119.5,1.23,94.6,13.0,0.5,129.4,0.86,2235,1857,482,7,6,28.48,26.64,0.86,174.0,-2.05,0.96,1.55,127.8,109.8,0.0,0.5,16.03,709.83,0.74,30276.36
Killian Delaney,119.4,1.43,91.62,12.0,4.0,141.6,1.33,2200,2182,477,6,6,32.72,40.91,0.97,123.99,-2.05,1.51,1.36,112.0,126.9,2.0,2.0,17.19,1673.42,0.95,15373.3
Zsoka Gaal,119.3,1.46,85.12,13.0,8.5,150.6,1.02,2284,2170,562,7,6,22.13,52.86,1.31,101.99,-2.06,1.19,1.78,133.6,102.7,6.0,2.5,19.01,2794.38,1.72,10402.29
Valeriu Mindru,119.3,1.32,68.03,7.0,2.0,121.4,1.37,1874,1439,213,3,4,39.04,19.39,0.62,76.89,-2.07,1.07,1.51,118.0,120.2,0.0,2.0,9.26,375.83,0.39,5911.73
Elis Denele Dicen,119.0,1.3,208.4,11.0,3.0,127.6,0.81,1917,2037,495,4,7,136.83,36.44,0.96,236.46,-2.08,1.08,1.42,125.9,115.1,1.0,2.0,14.3,1328.09,0.91,55913.61
Darmen Sadvakasov,119.0,1.66,26.25,9.0,7.0,142.1,1.42,2575,2343,463,1,8,26.01,47.77,1.31,12.42,-2.08,3.08,1.48,83.8,123.4,1.0,6.0,14.91,2281.92,1.72,154.14
Assel Lesbekova,118.8,1.58,175.79,10.0,5.5,130.8,1.14,1950,2126,403,5,5,93.67,40.9,0.98,182.62,-2.09,1.75,1.41,119.1,118.5,4.0,1.5,15.82,1673.07,0.95,33350.01
Ben J Purton,118.3,1.4,95.55,9.0,2.5,127.3,0.87,2102,2148,351,2,7,32.97,30.55,0.96,128.55,-2.12,0.77,1.58,137.8,112.8,0.0,2.5,12.6,933.06,0.92,16524.97
Kuka Kyle,118.2,1.16,199.26,13.0,1.0,116.6,1.33,1681,1757,446,6,7,32.74,19.69,0.52,408.58,-2.12,1.16,1.15,118.6,117.8,1.0,0.0,15.04,387.56,0.27,166936.23
Robert Skytte,118.1,1.33,76.13,13.0,3.5,121.9,1.58,2029,1999,473,6,7,30.96,24.11,0.78,112.15,-2.13,1.16,1.47,124.6,112.6,2.0,1.5,17.23,581.4,0.61,12576.52
