Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Anish Giri,151.96,0.78,20.55,10.0,7.0,155.75,0.72,2724.0,2722.0,496.0,4.0,6.0,9.71,11.3,0.5,35.0,-0.3,0.77,0.79,155.57,149.55,3.5,3.5,7.8,127.78,-0.1,0.37,0.61,0.25,1224.93
Fabiano Caruana,151.86,0.7,-21.38,10.0,6.5,159.85,0.53,2798.0,2775.0,517.0,5.0,5.0,5.98,20.72,0.94,91.95,-0.31,0.85,0.55,148.72,155.0,3.5,3.0,7.02,429.15,0.12,1.25,1.12,0.88,8454.58
Ediz Gurel,150.96,0.74,46.03,10.0,8.0,157.8,0.57,2602.0,2726.0,412.0,5.0,5.0,7.58,13.49,0.74,117.46,-0.35,1.21,0.28,144.08,157.84,4.0,4.0,7.43,182.02,0.02,0.53,0.73,0.54,13795.76
Frode Olav Olsen Urkedal,150.59,0.63,8.74,10.0,6.0,153.0,0.54,2546.0,2519.0,479.0,5.0,5.0,9.19,11.83,0.61,8.46,-0.38,0.39,0.86,158.16,143.02,4.0,2.0,6.27,139.99,-0.24,0.41,0.64,0.37,71.54
Parham Maghsoodloo,149.42,0.77,38.44,10.0,5.5,159.15,0.6,2723.0,2682.0,478.0,6.0,4.0,9.18,18.8,0.81,92.34,-0.44,0.36,1.39,158.67,135.55,4.0,1.5,7.73,353.33,0.08,1.03,1.01,0.65,8526.17
Jaime Santos Latasa,149.41,0.7,54.69,10.0,6.5,157.7,0.76,2624.0,2552.0,492.0,5.0,5.0,10.24,17.51,0.59,142.61,-0.44,0.69,0.71,147.1,151.72,3.5,3.0,7.02,306.77,0.01,0.9,0.95,0.35,20337.98
Alexey Sarana,149.14,0.81,12.15,10.0,6.5,158.95,0.62,2713.0,2693.0,465.0,6.0,4.0,8.95,20.53,0.82,9.85,-0.45,0.46,1.33,158.8,134.65,4.5,2.0,8.09,421.5,0.08,1.22,1.11,0.67,97.04
Aleksandar Indjic,148.06,0.72,23.21,10.0,6.5,158.6,0.42,2611.0,2647.0,456.0,5.0,5.0,10.28,25.95,0.89,41.61,-0.51,0.99,0.44,140.84,155.28,3.0,3.5,7.17,673.44,0.06,1.95,1.4,0.79,1731.73
Vasyl Ivanchuk,147.79,0.75,49.04,10.0,5.5,145.65,0.86,2635.0,2599.0,405.0,5.0,5.0,10.64,10.94,0.47,122.25,-0.53,0.71,0.78,147.06,148.52,2.5,3.0,7.46,119.75,-0.64,0.35,0.59,0.22,14943.91
Johan-Sebastian Christiansen,143.02,0.89,70.69,10.0,5.5,157.9,0.64,2661.0,2580.0,471.0,5.0,5.0,15.58,25.83,0.78,128.6,-0.78,0.56,1.22,155.96,130.08,4.0,1.5,8.92,667.0,0.02,1.94,1.39,0.62,16536.88
Ngoc Truong Son Nguyen,162.77,0.15,5.83,9.0,6.0,162.5,0.07,2633.0,2732.0,324.0,4.0,5.0,5.07,2.86,0.18,3.41,0.28,0.08,0.2,162.93,162.64,2.0,4.0,1.34,8.2,0.27,0.02,0.16,0.03,11.63
