Player,avg_gi,avg_missed_points,TPR,Points,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,gi_std,missed_points_std,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum
Diptayan Ghosh,137.71,0.95,2533,6,157.9,0.44,2455,637,6,7,31.71,0.97,0.64,1.21,150.4,126.83,4.5,1.5
David Paravyan,137.63,1.04,2485,7,146,0.62,2562,637,6,7,25.83,0.88,1.49,0.66,123.42,149.81,3,4
Alan Pichot,137.61,1.07,2532,7,151.2,0.8,2591,576,7,6,25.55,0.9,1.17,0.96,134.71,140.98,4.5,2.5
Tanitoluwa Adewumi,137.42,1.18,2587,7,139.1,1.08,2262,585,6,7,18.38,0.68,0.88,1.44,147.35,128.9,3.5,3.5
Ganzorig Amartuvshin,137.29,1.03,2488,5.5,139.2,0.97,2298,652,6,7,20.08,0.57,1.26,0.84,135.3,139,4,1.5
Yi Wei,137.18,1.2,2666,8.5,142.3,0.87,2760,690,7,6,33.17,1.27,1.81,0.49,122.24,154.62,5,3.5
Felix Blohberger,136.92,1,2393,4.5,133.75,0.91,2423,617,5,7,19.19,0.66,1.05,0.97,134.4,138.73,1.5,3
Benjamin Bok,136.81,1.1,2513,7,140.1,0.78,2596,643,6,7,26.56,0.78,1.43,0.82,127.27,144.99,3,4
David Anton Guijarro,136.54,1.17,2571,8,150.6,0.75,2635,772,6,7,25.76,0.79,1.22,1.12,132.75,139.79,3.5,4.5
Aleksandar Indjic,136.35,0.98,2435,7,150.7,0.84,2598,565,7,6,29.01,0.72,0.85,1.13,145.37,125.83,4.5,2.5
Sandipan Chanda,136.33,1,2385,6.5,140.6,0.73,2585,555,6,7,22.77,0.67,1.11,0.9,135.63,136.93,4,2.5
Elham Amar,136.32,1.05,2438,7,135.7,1.2,2494,717,6,7,22.26,0.7,0.79,1.27,143.87,129.86,4,3
Ilan Schnaider,136,0.99,2393,5,139.3,0.87,2285,782,7,6,22.84,0.71,1.13,0.83,129.37,143.73,2.5,2.5
Lorenzo Lodici,135.86,1.17,2577,7.5,134.4,0.84,2450,631,6,7,25.66,0.83,1.58,0.82,124.62,145.5,3,4.5
Luca Jr Moroni,135.85,1.13,2402,5.5,138.2,1.1,2525,684,6,7,20.95,0.46,1.16,1.11,136.72,135.11,3,2.5
Hikaru Nakamura,135.78,1.15,2594,7.5,142.1,1.33,2755,714,7,6,27.16,0.82,1.39,0.86,127.7,145.22,3.5,4
Sugar Gan-Erdene,135.75,1.12,2572,6.5,142.3,0.85,2405,688,6,7,29.45,0.81,1.24,1.02,136.62,135,4,2.5
Faustino Oro,135.49,1.08,2508,6.5,139.4,1.19,2404,668,6,7,24.87,0.79,1.19,0.99,131.18,139.19,3,3.5
Alexander Donchenko,135.38,1.02,2458,6.5,144.7,0.66,2578,698,6,7,28.63,0.91,0.54,1.42,150.45,122.47,4,2.5
Aleksandr Shimanov,135.25,1.32,2572,8,138.4,1.14,2578,707,7,6,31.82,0.91,0.76,1.98,148.37,119.95,4.5,3.5
Nikolozi Kacharava,135.05,1.1,2497,6,131.7,1.24,2405,597,6,7,16.39,0.67,1.11,1.1,132.25,137.46,2.5,3.5
Vugar Manafov,135.03,1.04,2482,5.5,136.4,1.19,2349,573,6,7,20.13,0.69,1.09,1,130.23,139.14,2.5,3
Aldiyar Ansat,134.72,1.19,2594,7,130,1,2338,767,7,6,23.72,0.85,0.89,1.54,145.93,121.63,5,2
Andrew Hong,134.71,1.16,2477,6.5,137.6,1.25,2560,745,6,7,19.94,0.77,1.1,1.21,136.9,132.83,3,3.5
Karthik Venkataraman,134.59,1.23,2607,7,140.8,1.05,2411,785,7,6,31.32,1.02,1.19,1.27,138.14,130.45,4.5,2.5
Sergey Erenburg,134.3,0.89,2277,5,130.8,1.01,2510,598,6,7,19.14,0.64,0.7,1.05,140.63,128.87,2.5,2.5
Varuzhan Akobian,134.25,1.2,2462,7,135.2,1,2604,717,7,6,32.02,1.16,1.48,0.87,131.59,137.35,5,2
Harsha Bharathakoti,134.13,1.04,2424,6.5,136.4,1.15,2516,777,7,6,21.25,0.75,0.86,1.26,142.47,124.4,4,2.5
Aleksandr Lenderman,134.07,1.2,2524,6.5,144.8,1.13,2621,703,7,6,29.74,0.91,1.02,1.4,140.66,126.38,4,2.5
Read Samadov,133.87,1.21,2608,7,131.5,1.08,2434,544,6,7,27.57,0.93,1.25,1.18,137.6,130.67,4,3
Fidel Corrales Jimenez,133.68,1.02,2287,4.5,131.7,1.02,2516,731,6,7,20.85,0.56,1.22,0.85,130.58,136.34,2.5,2
Alexey Sarana,133.28,1.02,2419,5.5,144,1.06,2654,543,6,7,31.21,0.87,1.08,0.97,137.02,130.07,3.5,2
Vuk Damjanovic,133.1,1.22,2529,6.5,142,1.02,2375,576,7,6,28.81,0.9,1.49,0.9,131.34,135.15,4.5,2
Denis Kadric,133,1.11,2472,6,142.5,0.95,2513,609,7,6,30.66,0.88,0.99,1.24,138.87,126.15,5,1
Mukhiddin Madaminov,132.95,1.23,2482,7,141.4,1.15,2456,723,7,6,29.59,0.72,1.32,1.12,129.66,136.78,4,3
Gabriel Gaehwiler,132.9,1.09,2411,5,130.65,1.02,2353,641,6,6,18.09,0.67,0.73,1.45,143.67,122.13,3,2
Edgar Mamedov,132.84,1.04,2439,4.5,138.9,0.79,2356,736,7,6,30.32,0.87,0.9,1.21,136.97,128.02,2.5,2
Aleksey Grebnev,132.78,1.24,2582,7.5,144.1,1.04,2496,690,6,7,35.7,1.11,0.79,1.63,149.58,118.39,4,3.5
A.R. Saleh Salem,131.82,1.38,2610,8.5,137.3,1.38,2647,913,7,6,23.5,0.79,1.28,1.5,133.83,129.48,4.5,4
Gleb Dudin,131.79,1.37,2541,6.5,131.9,1.13,2436,790,7,6,22.98,0.87,1.29,1.45,135.06,127.98,4,2.5
Robby Kevlishvili,131.68,1.05,2347,6,139.4,1,2558,603,7,6,28.87,0.73,0.89,1.25,138.76,123.42,4,2
Pablo Zarnicki,131.48,1.17,2493,5.5,137.8,0.66,2460,651,6,7,34.46,1.21,1.08,1.24,134.88,128.56,3,2.5
Andrew Tang,131.31,1.23,2454,5.5,123.6,1.37,2425,683,6,7,19.58,0.51,1.26,1.2,131.43,131.2,3,2.5
Chithambaram VR. Aravindh,131.31,1.35,2549,8,130,1.47,2546,657,7,6,25.97,0.98,1.19,1.54,135.66,126.23,5.5,2.5
Yiping Lou,130.98,1.1,2256,4.5,133.3,1.06,2471,607,7,6,26.25,0.72,0.99,1.23,134.49,126.88,2.5,2
