Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Lauritz Nissen Hellerud,129.8,0.76,17.71,1.0,0.0,129.8,0.76,1762,1749,42,1,0,17.71,0.0,0.0,0.0,-1.5,0.76,,129.8,,0.0,0.0,0.76,0.0,0.0,0.0
Gustav Torngren,129.8,0.86,16.82,6.0,1.5,138.1,0.72,2252,2087,202,5,1,14.41,32.52,0.84,13.05,-1.5,0.65,1.9,137.8,90.0,1.5,0.0,5.14,1057.33,0.71,170.29
Lucas Ranaldi,129.8,1.09,6.91,4.0,2.0,145.4,0.68,2363,2236,288,1,3,7.19,41.6,1.39,6.59,-1.49,0.0,1.45,158.0,120.5,0.0,2.0,4.36,1730.67,1.92,43.44
Alparslan Isik,129.3,1.65,10.2,2.0,1.0,129.3,1.65,2477,2703,153,1,1,10.2,19.66,1.12,1.03,-1.52,2.44,0.86,115.4,143.2,1.0,0.0,3.3,386.42,1.25,1.05
Simen Agdestein,127.5,1.14,8.8,3.0,0.5,144.1,0.8,2573,2323,188,1,2,9.56,42.69,1.18,2.78,-1.62,0.8,1.31,144.1,119.2,0.0,0.5,3.41,1822.71,1.4,7.75
Abyl Kizatbay,127.0,1.16,15.95,5.0,2.0,129.5,1.27,2179,2085,204,2,3,16.57,31.51,0.64,9.5,-1.65,0.9,1.34,143.8,115.8,1.5,0.5,5.81,993.07,0.41,90.3
Anders Gjerdrum Hagen,126.1,1.09,14.23,4.0,1.0,132.2,0.96,2141,2001,159,3,1,17.41,32.03,0.71,7.17,-1.7,1.16,0.89,126.4,125.3,1.0,0.0,4.36,1025.96,0.5,51.35
Nicolai Kistrup,125.6,1.6,18.17,3.0,1.5,121.3,2.1,2423,2546,173,1,2,15.42,30.13,0.97,13.38,-1.72,2.22,1.29,121.3,127.8,1.0,0.5,4.8,908.09,0.94,179.11
Shadi Sian,125.3,1.12,16.7,3.0,1.0,121.5,0.98,2155,2003,154,1,2,17.44,30.88,0.54,8.24,-1.74,0.66,1.35,157.9,109.0,1.0,0.0,3.36,953.32,0.3,67.98
Odin Blikra Vea,125.0,1.4,19.87,2.0,1.0,125.0,1.4,2156,2112,114,0,2,19.87,6.15,0.53,0.22,-1.76,,1.4,,125.0,0.0,1.0,2.79,37.85,0.28,0.05
Marina Gajcin,124.6,1.16,12.75,9.0,3.0,157.3,0.67,2229,2113,467,4,5,9.31,45.14,1.17,12.06,-1.77,1.6,0.8,105.8,139.7,0.5,2.5,10.4,2037.53,1.38,145.49
Aleksander Lindbol,123.8,1.2,16.39,2.0,0.5,123.8,1.2,2208,2050,80,2,0,16.39,4.53,0.22,6.69,-1.82,1.2,,123.8,,0.5,0.0,2.39,20.48,0.05,44.75
Martin Holten Fiskaaen,123.0,1.22,21.58,6.0,1.5,123.2,1.25,2298,2228,307,3,3,19.42,25.3,0.64,10.6,-1.86,1.06,1.38,127.4,118.7,1.0,0.5,7.32,640.27,0.4,112.32
Jon Kristian Haarr,120.5,1.49,15.29,9.0,5.0,122.9,1.22,2230,2253,511,4,5,18.45,39.97,1.37,8.56,-2.0,1.94,1.14,107.3,131.2,3.0,2.0,13.44,1597.77,1.87,73.33
Fredrik Aunan Lindsoe,120.3,1.52,26.82,1.0,0.5,120.3,1.52,2042,2015,17,0,1,26.82,0.0,0.0,0.0,-2.01,,1.52,,120.3,0.0,0.5,1.52,0.0,0.0,0.0
Vinjar Hammari,119.8,1.27,21.52,9.0,2.5,121.3,1.44,2042,2016,375,5,4,26.95,32.63,0.77,9.63,-2.04,1.51,0.97,117.0,123.3,2.0,0.5,11.44,1065.0,0.6,92.72
Henrik Oie Lobersli,116.5,1.18,21.33,1.0,0.0,116.5,1.18,2050,2143,43,1,0,21.33,0.0,0.0,0.0,-2.22,1.18,,116.5,,0.0,0.0,1.18,0.0,0.0,0.0
Vetle Bjorge Strand,114.1,1.31,16.33,6.0,0.5,112.2,1.32,2191,1845,339,3,3,15.93,31.53,0.96,12.35,-2.35,1.56,1.07,107.7,120.5,0.5,0.0,7.89,994.41,0.92,152.54
Gaute Bergan,106.4,1.42,29.72,2.0,0.0,106.4,1.42,2085,1883,72,1,1,29.72,23.26,0.64,10.79,-2.76,1.88,0.97,89.9,122.8,0.0,0.0,2.85,541.2,0.41,116.43
Andre Gjestemoen-VonHirsch,105.6,1.66,24.81,6.0,1.0,108.2,1.62,2280,1977,369,3,3,25.08,32.4,1.11,8.66,-2.8,2.33,0.98,82.7,128.5,0.5,0.5,9.94,1049.5,1.23,74.91
Aleksander Fossan,95.8,2.12,23.03,5.0,2.0,115.5,1.66,2140,2130,292,2,3,26.39,54.29,1.52,11.43,-3.33,1.14,2.76,125.6,75.9,0.5,1.5,10.58,2947.42,2.32,130.67
Flemming Christenson,79.5,2.9,26.14,2.0,1.5,79.5,2.9,2169,2307,130,2,0,26.14,104.23,2.52,14.81,-4.21,2.9,,79.5,,1.5,0.0,5.8,10863.38,6.34,219.24
Nicolas Axel Mellem,49.2,3.05,28.92,2.0,0.0,49.2,3.05,2111,1950,150,1,1,28.92,73.33,2.02,10.53,-5.84,1.62,4.48,101.1,-2.6,0.0,0.0,6.1,5376.84,4.09,110.86
