Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,missed_points_var,acpl_var
Aaditya Dhingra,122.48,1.39,44.54,8,3.0,136.65,0.94,2448.0,2372.0,493,4,4,26.11,46.63,1.33,71.77,-1.89,0.82,1.96,140.05,104.9,1.0,2.0,11.11,2174.81,-1.13,6.32,2.51,1.76,5151.56
Mukhammadali Abdurakhmonov,121.9,1.61,15.96,9,5.0,128.7,1.46,2395.0,2483.0,489,5,4,15.76,35.68,1.12,4.82,-1.92,1.65,1.57,123.56,119.82,3.0,2.0,14.51,1273.02,-1.56,3.71,1.93,1.26,23.27
Luong_Phuong Hanh,121.86,1.3,112.55,9,2.5,131.8,0.98,2225.0,2150.0,412,4,5,33.13,33.39,0.85,134.17,-1.93,1.23,1.35,136.18,110.4,2.5,0.0,11.69,1114.98,-1.39,3.24,1.8,0.73,18000.83
Devdutt Binu,121.22,1.15,86.06,9,1.5,119.4,1.2,2274.0,2037.0,402,4,5,43.54,20.2,0.45,94.85,-1.96,1.21,1.11,120.12,122.1,0.5,1.0,10.39,408.17,-2.06,1.19,1.09,0.2,8996.59
Arun Kataria,120.44,1.29,64.99,9,4.0,114.7,1.22,2370.0,2307.0,494,5,4,39.38,39.81,1.0,68.33,-2.0,1.02,1.64,131.86,106.18,3.0,1.0,11.63,1584.69,-2.31,4.61,2.15,0.99,4668.43
Ibrahim Sultan,116.86,1.49,97.03,9,3.5,136.4,1.21,2205.0,2265.0,425,5,4,36.62,50.27,1.47,184.02,-2.2,1.72,1.2,107.26,128.85,1.5,2.0,13.38,2527.12,-1.14,7.34,2.71,2.15,33863.47
Bakhrom Bakhrillaev,116.81,1.6,53.27,9,4.0,133.7,1.18,2369.0,2388.0,514,5,4,18.1,46.97,1.21,75.02,-2.2,1.44,1.8,122.72,109.42,2.5,1.5,14.37,2206.03,-1.29,6.4,2.53,1.46,5628.1
Murad Abdulla,116.31,1.58,89.33,9,3.5,127.0,0.92,2321.0,2308.0,429,5,4,35.46,48.64,1.21,91.11,-2.22,1.12,2.15,135.82,91.92,3.0,0.5,14.21,2365.82,-1.65,6.89,2.62,1.46,8300.16
Noaman Omar,116.26,1.41,14.35,9,2.5,119.1,1.25,2315.0,2178.0,445,4,5,41.3,34.95,0.84,100.32,-2.23,1.59,1.27,106.1,124.38,1.0,1.5,12.7,1221.39,-2.07,3.55,1.88,0.7,10063.98
Arad Nazari,113.61,1.75,17.98,9,5.0,129.3,1.3,2401.0,2432.0,489,4,5,17.26,44.77,1.51,8.14,-2.37,1.78,1.73,110.32,116.24,2.0,3.0,15.74,2004.69,-1.53,5.82,2.41,2.29,66.33
Garv Rai,113.43,1.67,57.45,9,3.5,121.7,1.51,2277.0,2274.0,490,4,5,26.19,34.5,1.03,94.66,-2.38,1.89,1.49,109.22,116.8,2.0,1.5,15.02,1190.06,-1.93,3.46,1.86,1.06,8960.27
Jain Jeet,112.08,1.63,78.99,9,3.5,103.3,1.65,2301.0,2276.0,502,4,5,29.41,31.51,1.08,122.99,-2.45,1.89,1.42,112.68,111.6,2.5,1.0,14.68,992.81,-2.92,2.88,1.7,1.16,15125.33
Nilufar Yakubbaeva,107.44,1.5,58.08,8,0.5,104.15,1.54,2241.0,1843.0,367,4,4,29.96,27.26,0.66,61.5,-2.7,1.42,1.57,113.08,101.8,0.5,0.0,11.97,743.36,-2.88,2.16,1.47,0.44,3782.06
